Q9Y561	LRP12
Q8IYK4	COLGALT2
O14609	XKRY
P21281	ATP6V1B2
Q9Y2P8	RCL1
Q9P1A6	DLGAP2
Q5GH70	XKR9
Q9BXF6	RAB11FIP5
Q96ET8	TVP23C
Q3KNS6	ZNF829
Q02086	SP2
Q9UGQ3	SLC2A6
Q9ULV5	HSF4
Q9NS26	SPANXA1
Q9NS26	SPANXA2
Q8IYD1	GSPT2
Q9BQ48	MRPL34
Q9Y2K6	USP20
Q9NS37	CREBZF
P04150	NR3C1
P78414	IRX1
Q86T29	ZNF605
Q13569	TDG
Q8WZ60	KLHL6
Q9HCJ6	VAT1L
P43365	MAGEA12
O00212	RHOD
Q6ZSS7	MFSD6
Q8N695	SLC5A8
Q6UVM3	KCNT2
Q6DWJ6	GPR139
Q9P0K1	ADAM22
Q53EL6	PDCD4
Q5VYX0	RNLS
P17050	NAGA
P56945	BCAR1
Q8NBQ7	AQP11
Q8N6Y1	PCDH20
Q8NFF2	SLC24A4
Q9P2N5	RBM27
Q8N752	CSNK1A1L
Q6UWI2	PARM1
P48751	SLC4A3
Q99747	NAPG
O60671	RAD1
Q15573	TAF1A
Q9BR26	OCSTAMP
Q00444	HOXC5
Q96EY8	MMAB
Q9NX00	TMEM160
O95947	TBX6
Q6XYQ8	SYT10
Q99460	PSMD1
Q96LW9	ZSCAN31
Q9NVV5	AIG1
Q9P1Z2	CALCOCO1
Q8TCT7	SPPL2B
Q9BVC6	TMEM109
Q14249	ENDOG
Q8N3Y3	LARGE2
P24864	CCNE1
A0A1W2PS18	PMIS2
Q70CQ4	USP31
O15217	GSTA4
Q00341	HDLBP
Q8NGY7	OR10J6P
A6NH52	TVP23A
P07305	H1-0
P60953	CDC42
Q9Y6L6	SLCO1B1
Q9Y5P4	CERT1
Q3LI58	KRTAP21-1
Q6ZUX7	LHFPL2
P48382	RFX5
Q08170	SRSF4
Q96NH3	TBC1D32
Q9BWT1	CDCA7
Q8N145	LGI3
Q9Y6I4	USP3
Q5TCQ9	MAGI3
Q96LC7	SIGLEC10
P01570	IFNA14
